2016-08-03	19:27:46	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Mead hall	Halana	Moving
2016-08-03	19:27:47	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	Mead hall	Halana	Moving
2016-08-03	19:27:53	g6snId+11nQ4UC2cOlStPQPqdXs=	Troga	Windows	The Darkest Dungeon	Halana	Moving
2016-08-03	19:28:54	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Connection timeout
2016-08-03	19:28:58	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Halana	Connecting
2016-08-03	19:54:21	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Mead hall	Team pečeno magare	Moving
2016-08-03	19:54:24	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Team pečeno magare	Halana	Moving
2016-08-03	20:00:28	1KyWjvK/kDiVUjt9ipNMsHN2ONM=	The_Fichek	Windows	The Darkest Dungeon	void	Leaving
2016-08-03	20:08:29	gnytTR2VzGjqIaqfk4IgQK1G+oM=	bhara	Windows	void	Greeting hall	Connecting
2016-08-03	20:08:34	gnytTR2VzGjqIaqfk4IgQK1G+oM=	bhara	Unknown	Greeting hall	void	Leaving
2016-08-03	20:15:05	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Connection timeout
2016-08-03	20:15:10	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Halana	Connecting
2016-08-03	20:35:51	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	Mead hall	void	Leaving
2016-08-03	20:40:13	1KyWjvK/kDiVUjt9ipNMsHN2ONM=	The_Fichek	Windows	void	The Darkest Dungeon	Connecting
2016-08-03	20:58:48	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	void	Greeting hall	Connecting
2016-08-03	21:03:00	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	Greeting hall	Halana	Moving
2016-08-03	21:13:51	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	Halana	void	Leaving
2016-08-03	21:32:38	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Leaving
2016-08-03	21:34:18	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Greeting hall	Connecting
2016-08-03	21:34:40	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Greeting hall	Halana	Moving
2016-08-03	21:35:01	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Leaving
2016-08-03	21:49:52	O5+5mY406O2KyuiQA4GJCzFgfPI=	Termistotel		void	Greeting hall	Connecting
2016-08-03	21:49:59	O5+5mY406O2KyuiQA4GJCzFgfPI=	Termistotel	Windows	Greeting hall	Halana	Moving
2016-08-03	22:07:16	O5+5mY406O2KyuiQA4GJCzFgfPI=	Termistotel	Windows	Halana	void	Leaving
2016-08-03	22:10:14	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Greeting hall	Connecting
2016-08-03	22:10:20	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Greeting hall	Halana	Moving
2016-08-03	22:34:06	1KyWjvK/kDiVUjt9ipNMsHN2ONM=	The_Fichek	Windows	The Darkest Dungeon	void	Leaving
2016-08-03	23:03:13	+p1eUyeNJ/Pxm6a/55OGPc7xXUA=	Lonelos	Linux	void	Mead hall	Connecting
2016-08-03	23:15:26	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Halana	Mead hall	Moving
2016-08-03	23:16:48	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Mead hall	void	Connection timeout
2016-08-03	23:23:42	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	Mead hall	Moving
2016-08-03	23:25:23	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Mead hall	void	Leaving
2016-08-04	00:03:06	+p1eUyeNJ/Pxm6a/55OGPc7xXUA=	Lonelos	Linux	Mead hall	void	Connection timeout
2016-08-04	00:36:18	g6snId+11nQ4UC2cOlStPQPqdXs=	Troga	Windows	Halana	Mead hall	Moving
2016-08-04	00:36:37	g6snId+11nQ4UC2cOlStPQPqdXs=	Troga	Windows	Mead hall	Halana	Moving
2016-08-04	00:38:02	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Mead hall	Connecting
2016-08-04	00:38:06	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Mead hall	Halana	Moving
2016-08-04	01:58:59	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	Halana	void	Connection timeout
2016-08-04	01:59:02	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	void	Halana	Connecting
2016-08-04	03:20:07	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Leaving
2016-08-04	03:21:51	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Halana	Connecting
2016-08-04	05:04:01	g6snId+11nQ4UC2cOlStPQPqdXs=	Troga	Windows	Halana	void	Leaving
2016-08-04	05:04:44	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	Halana	void	Leaving
2016-08-04	05:11:05	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Halana	void	Leaving
2016-08-04	09:55:27	1KyWjvK/kDiVUjt9ipNMsHN2ONM=	The_Fichek	Windows	void	The Darkest Dungeon	Connecting
2016-08-04	10:24:31	1KyWjvK/kDiVUjt9ipNMsHN2ONM=	The_Fichek	Unknown	The Darkest Dungeon	void	Leaving
2016-08-04	10:42:49	+p1eUyeNJ/Pxm6a/55OGPc7xXUA=	Lonelos	Linux	void	Mead hall	Connecting
2016-08-04	11:11:40	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	void	Greeting hall	Connecting
